IBSI_meaning	IBSI_code	pyradiomics_feature_class	pyradiomics_feature_name	pyradiomics_notes
Morphological features	HCUG			
Volume	RNU0	shape	MeshVolume	
Approximate volume	YEKZ	shape	VoxelVolume	
Surface area	C0JK	shape	SurfaceArea	Calculated using Marching Cubes
Surface to volume ratio	2PR5	shape	SurfaceVolumeRatio	
Compactness 1	SKGS	shape	Compactness1	
Compactness 2	BQWJ	shape	Compactness2	
Spherical disproportion	KRCK	shape	SphericalDisproportion	
Sphericity	QCFX	shape	Sphericity	
Asphericity	25C7			
Centre of mass shift	KLMA			
Maximum 3D diameter	L0JK	shape	Maximum3DDiameter	https://pyradiomics.readthedocs.io/en/latest/features.html#radiomics.shape.RadiomicsShape.calculateDiameters
Major axis length	TDIC	shape	MajorAxisLength	
Minor axis length	P9VJ	shape	MinorAxisLength	
Least axis length	7J51	shape	LeastAxisLength	
Elongation	Q3CK	shape	Elongation	
Flatness	N17B	shape	Flatness	
Volume density - axis-aligned bounding box	PBX1			
Area density - axis-aligned bounding box	R59B			
Volume density - oriented minimum bounding box	ZH1A			
Area density - oriented minimum bounding box	IQYR			
Volume density - approximate enclosing ellipsoid	6BDE			
Area density - approximate enclosing ellipsoid	RDD2			
Volume density - minimum volume enclosing ellipsoid	SWZ1			
Area density - minimum volume enclosing ellipsoid	BRI8			
Volume density - convex hull	R3ER			
Area density - convex hull	7T7F			
Integrated intensity	99N0			
Moran's I index	N365			
Geary's C measure	NPT7			
Local intensity features	9ST6			
Local intensity peak	VJGA			
Global intensity peak	0F91			
Intensity-based statistical features	UHIW			
Mean	Q4LE	firstorder	Mean	
Variance	ECT3	firstorder	Variance	
Skewness	KE2A	firstorder	Skewness	
Median	Y12H	firstorder	Median	
Minimum grey level	1GSF	firstorder	Minimum	
10th percentile	QG58	firstorder	10Percentile	
90th percentile	8DWT	firstorder	90Percentile	
Maximum grey level	84IY	firstorder	Maximum	
Interquartile range	SALO	firstorder	InterquartileRange	
Range	2OJQ	firstorder	Range	
Mean absolute deviation	4FUA	firstorder	MeanAbsoluteDeviation	
Robust mean absolute deviation	1128	firstorder	RobustMeanAbsoluteDeviation	
Median absolute deviation	N72L			
Coefficient of variation	7TET			
Quartile coefficient of dispersion	9S40			
Energy	N8CA	firstorder	Energy	
Root mean square	5ZWQ	firstorder	RootMeanSquared	
Intensity histogram features	ZVCW			
Intensity histogram mean	X6K6			
Intensity histogram variance	CH89			
Intensity histogram skewness	88K1			
Intensity histogram kurtosis	C3I7			
Intensity histogram median	WIFQ			
Intensity histogram minimum grey level	1PR8			
Intensity histogram 10th percentile	GPMT			
Intensity histogram 90th percentile	OZ0C			
Intensity histogram maximum grey level	3NCY			
Intensity histogram mode	AMMC			
Intensity histogram interquartile range	WR0O			
Intensity histogram range	5Z3W			
Intensity histogram mean absolute deviation	D2ZX			
Intensity histogram robust mean absolute deviation	WRZB			
Intensity histogram median absolute deviation	4RNL			
Intensity histogram coefficient of variation	CWYJ			
Intensity histogram quartile coefficient of dispersion	SLWD			
Intensity histogram entropy	TLU2	firstorder	Entropy	
Intensity histogram uniformity	BJ5W	firstorder	Uniformity	
Maximum histogram gradient	12CE			
Maximum histogram gradient grey level	8E6O			
Minimum histogram gradient	VQB3			
Minimum histogram gradient grey level	RHQZ			
Intensity-volume histogram features	P88C			
Volume at intensity fraction	BC2M			
Intensity at volume fraction	GBPN			
Volume fraction difference between intensity fractions	DDTU			
Intensity fraction difference between volume fractions	CNV2			
Area under IVH curve	9CMM			
Grey level co-occurrence based features	LFYI			
Joint maximum	GYBY	glcm	MaximumProbability	
Joint average	60VM	glcm	JointAverage	
Joint variance	UR99	glcm	SumSquares	
Joint entropy	TU9B	glcm	JointEntropy	
Difference average	TF7R	glcm	DifferenceAverage	
Difference variance	D3YU	glcm	DifferenceVariance	
Difference entropy	NTRS	glcm	DifferenceEntropy	
Sum average	ZGXS	glcm	SumAverage	
Sum variance	OEEB	glcm	SumVariance	Deprecated: same as ClusterTendency
Sum entropy	P6QZ	glcm	SumEntropy	
Angular second moment	8ZQL	glcm	JointEnergy	
(GLCM) Contrast	ACUI	glcm	Contrast	
Dissimilarity	8S9J	glcm	Dissimilarity	Deprecated, same as DifferenceAverage
Inverse difference	IB1Z	glcm	Id	
Normalised inverse difference	NDRX	glcm	Idn
Inverse difference moment	WF0Z	glcm	Idm
Normalised inverse difference moment	1QCO	glcm	Idmn
Inverse variance	E8JP	glcm	InverseVariance	
Correlation	NI2N	glcm	Correlation	
Autocorrelation	QWB0			
Cluster tendency	DG8W	glcm	ClusterTendency	
Cluster shade	7NFM	glcm	ClusterShade	
Cluster prominence	AE86	glcm	ClusterProminence	
First measure of information correlation	R8DG			
Second measure of information correlation	JN9H			
Grey level run length based features	TP0I			
Short runs emphasis	22OV	glrlm	ShortRunEmphasis	
Long runs emphasis	W4KF	glrlm	LongRunEmphasis	
Low grey level run emphasis	V3SW	glrlm	LowGrayLevelRunEmphasis	
High grey level run emphasis	G3QZ	glrlm	HighGrayLevelRunEmphasis	
Short run low grey level emphasis	HTZT	glrlm	ShortRunLowGrayLevelEmphasis	
Short run high grey level emphasis	GD3A	glrlm	ShortRunHighGrayLevelEmphasis	
Long run low grey level emphasis	IVPO	glrlm	LongRunLowGrayLevelEmphasis	
Long run high grey level emphasis	3KUM	glrlm	LongRunHighGrayLevelEmphasis	
Grey level non-uniformity	R5YN	glrlm	GrayLevelNonUniformity	
Normalised grey level non-uniformity	OVBL	glrlm	GrayLevelNonUniformityNormalized	
Run length non-uniformity	W92Y	glrlm	RunLengthNonUniformity	
Normalised run length non-uniformity	IC23	glrlm	RunLengthNonUniformityNormalized	
Run percentage	9ZK5	glrlm	RunPercentage	
Grey level variance	8CE5	glrlm	GrayLevelVariance	
Run length variance	SXLW	glrlm	RunVariance	
Run entropy	HJ9O	glrlm	RunEntropy	
Grey level size zone based features	9SAK			
Small zone emphasis	5QRC	glszm	SmallAreaEmphasis	
Large zone emphasis	48P8	glszm	LargeAreaEmphasis	
Low grey level zone emphasis	XMSY			
High grey level zone emphasis	5GN9			
Small zone low grey level emphasis	5RAI	glcm	SmallAreaLowGrayLevelEmphasis	
Small zone high grey level emphasis	HW1V	glcm	SmallAreaHighGrayLevelEmphasis	
Large zone low grey level emphasis	YH51	glcm	LargeAreaLowGrayLevelEmphasis	
Large zone high grey level emphasis	J17V	glcm	LargeAreaHighGrayLevelEmphasis	
Grey level non-uniformity	JNSA	glszm	GrayLevelNonUniformity	
Normalised grey level non-uniformity	Y1RO	glszm	GrayLevelNonUniformityNormalized	
Zone size non-uniformity	4JP3	glszm	SizeZoneNonUniformity	
Normalised zone size non-uniformity	VB3A	glszm	SizeZoneNonUniformityNormalized	
Zone percentage	P30P	glszm	ZonePercentage	
Grey level variance	BYLV	glszm	GrayLevelVariance	
Zone size variance	3NSA	glszm	ZoneSizeVariance	
Zone size entropy	GU8N	glszm	ZoneSizeEntropy	
Grey level distance zone based features	VMDZ			
Small distance emphasis	0GBI			
Large distance emphasis	MB4I			
Low grey level zone emphasis	S1RA	glszm	LowGreyLevelZoneEmphasis	
High grey level zone emphasis	K26C	glszm	HighGreyLevelZoneEmphasis	
Small distance low grey level emphasis	RUVG			
Small distance high grey level emphasis	DKNJ			
Large distance low grey level emphasis	A7WM			
Large distance high grey level emphasis	KLTH			
Grey level non-uniformity	VFT7			
Normalised grey level non-uniformity	7HP3			
Zone distance non-uniformity	V294			
Zone distance non-uniformity normalised	IATH			
Zone percentage	VIWW			
Grey level variance	QK93			
Zone distance variance	7WT1			
Zone distance entropy	GBDU			
Neighbourhood grey tone difference based features	IPET			
Coarseness	QCDE	ngtdm	Coarseness	
(NGTDM) Contrast	65HE	ngtdm	Contrast	
Busyness	NQ30	ngtdm	Busyness	
Complexity	HDEZ	ngtdm	Complexity	
Strength	1X9X	ngtdm	Strength	
Neighbouring grey level dependence based features	REK0			
Low dependence emphasis	SODN	gldm	SmallDependenceEmphasis	
High dependence emphasis	IMOQ	gldm	LargeDependenceEmphasis	
Low grey level count emphasis	TL9H	gldm	LowGrayLevelEmphasis	
High grey level count emphasis	OAE7	gldm	HighGrayLevelEmphasis	
Low dependence low grey level emphasis	EQ3F	gldm	SmallDependenceLowGrayLevelEmphasis	
Low dependence high grey level emphasis	JA6D	gldm	SmallDependenceHighGrayLevelEmphasis	
High dependence low grey level emphasis	NBZI	gldm	LargeDependenceLowGrayLevelEmphasis	
High dependence high grey level emphasis	9QMG	gldm	LargeDependenceHighGrayLevelEmphasis	
Grey level non-uniformity	FP8K	gldm	GrayLevelNonUniformity	
Normalised grey level non-uniformity	5SPA	gldm	GrayLevelNonUniformityNormalized	Deprecated: same as first order Uniformity
Dependence count non-uniformity	Z87G	gldm	DependenceNonUniformity	
Dependence count non-uniformity normalised	OKJI	gldm	DependenceNonUniformityNormalized	
Dependence count percentage	6XV8	gldm	DependencePercentage	Deprecated: always computes to 1!
Grey level variance	1PFV	gldm	GrayLevelVariance	
Dependence count variance	DNX2	gldm	DependenceVariance	
Dependence count entropy	FCBV	gldm	DependenceEntropy	
Dependence count energy	CAS9			
feature aggregation	5QB6			
feature computed per slice, and averaged over slices	3IDG			
feature computed over the volume	DHQ4			
feature computed from 2D directional matrix and averaged over 2D directions and slices	BTW3			
feature computed from a single matrix after merging 2D directional matrices per slice, and averaged over slices	SUJT			
feature computed from a single matrix after merging all 2D directional matrices	ZW7Z			
feature computed from 3D directional matrix and averaged over 3D directions	ITBB			
feature computed from a single matrix after merging all 3D directional matrices	IAZD			
feature computed from 2D matrix and averaged over slices	8QNN			
feature computed from a single matrix after merging all 2D matrices	62GR			
feature computed from 3D matrix	KOBO			
grid distances	MPUJ			
manhattan norm	LIFZ			
euclidean norm	G9EV			
chebyshev norm	PVMT			
ROI submasks	ECJF			
intensity mask	SEFI			
morphological mask	G5KJ			
re-segmentation	IF9H			
range re-segmentation	USB3			
outlier filtering	7ACA			
distance weighting	6CK8			
volume voxel representation	LQD8			
volume voxel point set representation	4KW8			
volume voxel mesh representation	WRJH			
discretisation	4R0B			
fixed bin size	Q3RU			
fixed bin number	K15C			
data conversion	23XZ			
image post-acquisition processing	PCDE			
segmentation	OQYT			
interpolation	VTM2			
intensity rounding after interpolation	68QD			
roi mask partial volume	E8H9			
interpolation grid	UMPJ			
fit to original grid	58MB			
align grid origins	SBKJ			
align grid centers	3WE3			
align grid centers interpolation grid dimensions	026Q			
align grid centers grid positions	QCY4			
ROI extraction	1OBP			
